
{'data': '0.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '0.60s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '1.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '1.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '2.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '3.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '3.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '4.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '4.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '5.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '6.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '6.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '7.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '7.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '8.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '9.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '9.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '10.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '10.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '11.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '13.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '13.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '14.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '15.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '15.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '16.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '16.80s: YELLOW - (-1.0, -2.0)m/s2', 'type': 'chat_data'}
{'data': '17.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '18.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '18.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '19.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '19.80s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '20.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '21.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '21.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '22.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '22.80s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '23.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '24.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '24.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '25.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '25.80s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '26.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '27.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '27.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '28.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '28.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '29.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '30.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '30.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '31.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '31.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '32.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '33.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '33.60s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '34.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '34.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '35.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '36.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '36.60s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '37.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '37.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '38.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '39.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '39.60s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '40.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '40.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '41.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '42.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '42.60s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '43.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '43.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '44.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '45.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '45.60s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '46.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '46.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '47.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '48.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '48.60s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '49.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '49.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '50.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '51.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '51.60s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '52.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '52.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '53.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '54.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
