
0.0s: NORMAL LIMIT-(0.0, -5.0)
0.60s: NORMAL LIMIT-(0.0, -5.0)
1.19s: NORMAL LIMIT-(0.0, -5.0)
1.79s: NORMAL LIMIT-(0.0, -5.0)
1.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 790
2.39s: NORMAL LIMIT-(0.0, -5.0)
3.0s: NORMAL LIMIT-(0.0, -5.0)
3.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 794
3.59s: NORMAL LIMIT-(0.0, -5.0)
4.20s: NORMAL LIMIT-(0.0, -5.0)
4.79s: NORMAL LIMIT-(0.0, -5.0)
4.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 747
5.39s: NORMAL LIMIT-(0.0, -5.0)
6.0s: NORMAL LIMIT-(0.0, -5.0)
6.59s: NORMAL LIMIT-(0.0, -5.0)
7.19s: NORMAL LIMIT-(0.0, -5.0)
7.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 812
7.79s: NORMAL LIMIT-(0.0, -5.0)
8.40s: NORMAL LIMIT-(0.0, -5.0)
9.0s: NORMAL LIMIT-(0.0, -5.0)
9.59s: NORMAL LIMIT-(0.0, -5.0)
9.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 874
10.19s: NORMAL LIMIT-(0.0, -5.0)
10.79s: NORMAL LIMIT-(0.0, -5.0)
10.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 676
11.40s: NORMAL LIMIT-(0.0, -5.0)
13.19s: NORMAL LIMIT-(0.0, -5.0)
13.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 836
13.79s: NORMAL LIMIT-(0.0, -5.0)
14.39s: NORMAL LIMIT-(0.0, -5.0)
15.0s: NORMAL LIMIT-(0.0, -5.0)
15.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 893
15.59s: NORMAL LIMIT-(0.0, -5.0)
16.19s: NORMAL LIMIT-(0.0, -5.0)
16.80s: YELLOW LIMIT-(-5.0, -9.8)
17.39s: NORMAL LIMIT-(0.0, -5.0)
18.0s: NORMAL LIMIT-(0.0, -5.0)
18.59s: NORMAL LIMIT-(0.0, -5.0)
